FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,wam_date12,wam_length12,wam_mass12,tenth_perc_MO2_mg_hr12,tenth_perc_MO2_mg_hr_kg12,wam_date28,wam_length28,wam_mass28,tenth_perc_MO2_mg_hr28,tenth_perc_MO2_mg_hr_kg28,ctmax_length12,ctmax_mass12,ctmax_date12,ctmax12,ctmax_length28,ctmax_mass28,ctmax_date28,ctmax28,cam_date,cam_length,cam_mass,heart_mass,Glucose_MR_pmol_s12,FA_MR_pmol_s12,LKA_MR_pmol_s12,Endogenous_MR_pmol_s12,Glucose_MR_pmol_s28,FA_MR_pmol_s28,LKA_MR_pmol_s28,Endogenous_MR_pmol_s28
R1R2O5,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/24/19,56,3.9,1.442994732,0.000369999,6/14/19,60,5.2,5.079644026,0.000976855,56,3.9,5/1/19,34.33,60,5.2,7/3/19,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1O5R6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/24/19,70,7.7,2.71157804,0.000352153,6/13/19,66,6.4,3.473112657,0.000542674,70,7.7,5/1/19,33.54,66,6.4,7/2/19,41.11,7/26/19,69,7.6,0.009,NA,NA,NA,NA,27.26482155,8.375907995,11.99393617,6.238629032
P2R4G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/24/19,65,5.3,1.594785873,0.000300903,6/27/19,69,7,1.563417567,223.3453667,65,5.3,5/1/19,33.91,69,7,7/11/19,41.37,7/30/19,75,9.1,0.007,NA,NA,NA,NA,26.75332492,20.44595451,14.52735673,11.33485055
R2O4G6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/24/19,65,6.3,2.184930171,0.000346814,6/14/19,71,7.6,6.367729659,0.000837859,65,6.3,5/1/19,34.74,71,7.6,7/3/19,41.92,7/29/19,71,8.8,0.0014,NA,NA,NA,NA,37.39737935,34.41947125,24.66952828,22.74046136
G1R3O4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,4/24/19,74,10.5,4.031063093,0.000383911,6/27/19,71,12.4,2.944392245,237.4509875,74,10.5,5/1/19,33.85,71,12.4,7/11/19,41.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1P4P6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/24/19,67,6.3,2.467931654,0.000391735,6/13/19,70,6.9,1.379659049,0.000199951,67,6.3,5/1/19,33.66,70,6.9,7/3/19,41.08,7/26/19,73,8.8,0.007,NA,NA,NA,NA,33.90060307,29.08093462,17.69303042,8.386893588
G1R4R6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/24/19,66,7.5,1.932956082,0.000257727,6/13/19,72,11.3,3.523274837,0.000311794,66,7.5,5/1/19,34.13,72,11.3,7/3/19,40.76,7/26/19,72,10.8,0.011,NA,NA,NA,NA,35.20392727,28.11727485,15.9498682,12.13206339
G1R4G5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/24/19,72,9.9,3.185079006,0.000321725,NA,NA,NA,NA,NA,72,9.9,5/1/19,34.01,68,8.2,7/3/19,41.8,7/29/19,70,8.8,0.012,NA,NA,NA,NA,43.70062099,23.98885387,15.80332795,21.07152354
O1O4R5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/24/19,57,4.6,1.943276548,0.000422451,6/27/19,64,5.1,1.555612039,305.0219684,57,4.6,5/1/19,34.57,64,5.1,7/11/19,41.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R3G4R6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/26/19,71,7.8,1.739256952,0.000222982,6/14/19,79,8,5.839012682,0.000729877,71,7.8,5/15/19,32.32,79,8,7/3/19,40.83,7/29/19,76,8.8,0.009,NA,NA,NA,NA,32.69538798,22.16047875,14.81629358,19.48773308
