"","FishID","pop","sex","habitat_temp","pair","state","subgroup","latitude","accl_order","wam_date","wam_length","wam_mass","tenth_perc_MO2_mg_hr","tenth_perc_MO2_mg_hr_kg","ctmax_length","ctmax_mass","ctmax_date","ctmax","cam_date","cam_length","cam_mass","heart_mass","Glucose_MR_pmol_s","FA_MR_pmol_s","LKA_MR_pmol_s","Endogenous_MR_pmol_s"
"267","G2O3P5","NOCNJ","M",27.10122,"NJ","NJ","S",39.87,"28 to 12","5/27/19",77,12.1,2.620737064,216.58984,77,12.1,"6/18/19",36.98,"6/25/19",80,12.5,0.014,31.58232636,57.62368696,29.93386529,25.0959577
"268","G2P3O6","SOCNJ","F",27.17952,"NJ","NJ","S",39.78,"28 to 12","5/27/19",72,10,1.303840907,130.3840907,72,10,"6/18/19",35.72,"6/25/19",74,10.3,0.01,33.47203344,13.75888003,23.03942323,20.70727897
"270","G2P4R6","OCENJ","F",30.57388,"NJ","NJ","S",39.81,"28 to 12","5/27/19",73,10,1.504124055,150.4124055,73,10,"6/17/19",35.69,"6/24/19",74,9.7,0.011,35.79672475,11.00120395,21.6107569,27.03433497
"272","G3O4G6","SOCNJ","F",27.17952,"NJ","NJ","S",39.78,"28 to 12","5/27/19",61,6.9,1.019315202,147.7268408,61,6.9,"6/18/19",36.98,"6/25/19",64,7.6,0.011,24.53293826,40.01276452,13.99019863,16.78953616
"273","G3P4O5","OCENJ","M",30.57388,"NJ","NJ","S",39.81,"28 to 12","5/27/19",83,17,1.494341001,87.9024118,83,17,"6/17/19",36.89,"6/24/19",93,18.4,0.025,59.95550335,57.14045469,32.22987967,36.58846118
"274","O1G2R5","OCENJ","F",30.57388,"NJ","NJ","S",39.81,"28 to 12","5/27/19",72,13.5,1.13213797,83.86207185,72,13.5,"6/18/19",37.22,"6/25/19",81,14.9,0.016,53.26638074,57.69950772,31.93568117,33.29290991
"275","O1G3G4","OCENJ","M",30.57388,"NJ","NJ","S",39.81,"28 to 12","5/27/19",79,13.4,1.491314137,111.2920998,79,13.4,"6/18/19",36.69,"6/25/19",81,14.6,0.013,32.25592867,50.943343,27.29371432,19.55306848
"276","O1P2O4","NOCNJ","M",27.10122,"NJ","NJ","S",39.87,"28 to 12","5/27/19",62,7.1,1.164041879,163.9495604,62,7.1,"6/17/19",36.46,"6/24/19",69,8,0.01,34.73707085,17.69305632,23.11156731,27.80984144
"277","O1P5R6","NOCNJ","F",27.10122,"NJ","NJ","S",39.87,"28 to 12","5/27/19",80,15.2,1.807531555,118.9165497,80,15.2,"6/17/19",36.26,"6/24/19",86,16.5,0.02,41.58544725,22.15154849,30.75703541,31.99226205
"278","O2O3G6","SOCNJ","M",27.17952,"NJ","NJ","S",39.78,"28 to 12","5/27/19",64,7.8,1.427549174,183.0191249,64,7.8,"6/18/19",36.54,"6/25/19",67,8.7,0.013,31.60479143,47.93646415,24.47879073,22.41997947
"279","O2P4P5","NOCNJ","F",27.10122,"NJ","NJ","S",39.87,"28 to 12","5/27/19",82,20.3,3.14999139,155.1719896,82,20.3,"6/18/19",36.81,"6/25/19",86,21.9,0.026,68.17590594,78.73334658,36.66109497,34.6028587
"281","O3G4O6","NOCNJ","F",27.10122,"NJ","NJ","S",39.87,"28 to 12","5/27/19",67,8.2,1.231800517,150.2195752,67,8.2,"6/18/19",37.19,"6/25/19",68,9.8,0.008,21.148506,40.69257288,20.8670973,19.17765013
