"","FishID","pop","sex","habitat_temp","pair","state","subgroup","latitude","accl_order","wam_date","wam_length","wam_mass","tenth_perc_MO2_mg_hr","tenth_perc_MO2_mg_hr_kg","ctmax_length","ctmax_mass","ctmax_date","ctmax","cam_date","cam_length","cam_mass","heart_mass","Glucose_MR_pmol_s","FA_MR_pmol_s","LKA_MR_pmol_s","Endogenous_MR_pmol_s"
"388","R1P2R5","OCE","M",30.57388,"NJ","NJ","S",39.81,"12 to 28","5/30/19",74,11.6,3.838932918,330.942493,74,11.6,"6/19/19",42.11,"6/26/19",75,11.3,0.017,68.99846128,41.46478765,43.20054725,29.67394833
"392","O1O3R4","NOC","F",27.10122,"NJ","NJ","S",39.87,"12 to 28","6/4/19",68,8.1,3.980928871,491.4727001,68,8.1,"6/20/19",42.51,"6/27/19",70,9.1,0.01,66.77188322,22.35796047,16.71046926,6.625123539
"393","O1R2O4","NOC","F",27.10122,"NJ","NJ","S",39.87,"12 to 28","6/4/19",75,13,4.161598356,320.1229505,75,13,"6/20/19",42.22,"6/27/19",82,13.5,0.013,22.76193825,32.29614255,34.33781744,22.14216128
"394","R1O2O5","NOC","F",27.10122,"NJ","NJ","S",39.87,"12 to 28","6/4/19",70,8.1,1.846788753,227.9986115,70,8.1,"6/20/19",42.73,"6/27/19",69,8.7,0.008,33.28371142,22.98948566,11.61643373,5.348967167
"395","R1O2P4","SOC","M",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/4/19",72,13.5,4.228057473,313.1894425,72,13.5,"6/20/19",41.94,"6/27/19",87,16.8,0.018,41.81210892,40.21233772,39.1807272,31.54410793
"396","R2P5P6","OCE","F",30.57388,"NJ","NJ","S",39.81,"12 to 28","6/4/19",72,11.8,4.023120978,340.9424557,72,11.8,"6/20/19",42.28,"6/27/19",78,11.2,0.014,49.75473216,30.73835154,32.55025519,13.73164901
"398","G1O3R6","SOC","M",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/5/19",71,11.3,5.626834904,497.9499915,71,11.3,"6/21/19",42.53,"6/28/19",74,13.1,0.009,56.51355788,40.76990252,30.88321791,24.38293768
"399","G1R2R6","SOC","M",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/5/19",70,8.4,4.446023516,529.2885138,70,8.4,"6/21/19",42.51,"6/28/19",75,9.2,0.011,44.14254648,35.65513314,22.61562594,20.4485671
"400","G2O3R5","SOC","F",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/5/19",70,10.6,3.955642863,373.173855,70,10.6,"6/21/19",42.33,"6/28/19",76,11.3,0.01,44.44686338,26.92757691,20.38017308,14.41492402
"401","O1G3P6","OCE","M",30.57388,"NJ","NJ","S",39.81,"12 to 28","6/5/19",75,5.6,5.066764705,904.7794116,75,11.3,"6/21/19",42.44,"6/28/19",75,12.6,0.013,44.5908687,46.08402918,37.42671858,29.74082093
"402","P2G3P6","NOC","M",27.10122,"NJ","NJ","S",39.87,"12 to 28","6/5/19",65,7.7,2.931779787,380.7506217,65,7.7,"6/21/19",42.65,"6/28/19",72,9.2,0.012,47.43718975,26.87287254,11.85598045,10.45153002
"403","P2G4P5","NOC","M",27.10122,"NJ","NJ","S",39.87,"12 to 28","6/5/19",62,8.3,3.377597127,406.9394129,62,8.3,"6/21/19",42.5,"6/28/19",70,9.9,0.01,40.41900833,24.22986804,18.20914163,8.507436753
"404","P3R4G6","SOC","F",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/5/19",65,8.8,4.670666273,530.757531,65,8.8,"6/21/19",42.77,"6/28/19",71,9.3,0.011,41.99733439,29.59821897,24.10588896,17.54664565
"407","R3O4O6","NOC","F",27.10122,"NJ","NJ","S",39.87,"12 to 28","6/5/19",66,8.4,3.813910032,454.0369086,66,8.4,"6/21/19",42.67,"6/28/19",71,8.7,0.007,36.42179108,20.78239407,11.65102239,4.299815341
"408","R3R4G6","SOC","F",27.17952,"NJ","NJ","S",39.78,"12 to 28","6/5/19",61,7.4,6.663084852,900.4168718,61,7.4,"6/21/19",42.5,"6/28/19",62,8.9,0.009,36.5960749,36.78226722,33.03125963,19.50579093
